active_compute_proxy,approx_kl,checkpoint,ent_coef_current,entropy,env_id,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,explained_variance,global_step,gpu_utilization,greedy,loss,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,policy_loss,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,rollout/action_entropy,rollout/action_greedy_match,rollout/action_logit_margin,rollout/action_max_prob,rollout/action_selected_prob,route_entropy,run_dir,temperature,throughput_fps,train/episode_length,train/episode_return,train/episodes_completed,train/success_rate,update,value_loss,variant,wall_clock_seconds
0.5,0.0026239838043693453,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0010.pt,0.001,1.5710110440850258,MiniGrid-DoorKey-5x5-v0,1.6424131214916706,1.0,0.22208307713270187,0.35353177097067234,0.22208307713270187,0.35353177097067234,250.0,,0.35353177097067234,,,250.0,0.0,0.0,0.25417303293943405,0.251717958599329,0.2435914007946849,0.25051760859787464,-1.3131165504455566,5120.0,0.0,True,-0.0033919284178409725,greedy,1.0,1.0,1.0,1.1095999032258987,-0.0018716751947067678,11.305806398391724,9.450252532958984,0.5152212269604206,11.348168849945068,0.7168811187148094,1.564106747508049,0.328125,0.03402369096875191,0.3527940078638494,0.26340693212114275,1.3860120698809624,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,1.0,837.710602473857,250.0,0.0,1.0,0.0,10,0.00010151612082154315,sare,6.111895904003177
0.5,0.0026239838043693453,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0010.pt,0.001,1.5710110440850258,MiniGrid-DoorKey-5x5-v0,1.6374780588367868,0.3509668399950258,0.23586989542311088,0.35749110667348694,0.22802431145836324,0.3550779684922274,250.0,,0.35749110667348694,0.24476155724982487,0.36022599661224775,200.6875,0.22439999738708138,0.46875,0.25417303293943405,0.251717958599329,0.2435914007946849,0.25051760859787464,-1.3131165504455566,5120.0,0.0,False,-0.0033919284178409725,sampled_t1.0,1.0,1.0,1.0,1.1095999032258987,-0.0018716751947067678,11.305806398391724,9.450252532958984,0.5152212269604206,11.348168849945068,0.7168811187148094,1.564106747508049,0.328125,0.03402369096875191,0.3527940078638494,0.26340693212114275,1.3860120698809624,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,1.0,837.710602473857,250.0,0.0,1.0,0.0,10,0.00010151612082154315,sare,6.111895904003177
0.5,0.0026239838043693453,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0010.pt,0.001,1.5710110440850258,MiniGrid-DoorKey-5x5-v0,1.4080923161431063,0.4322220791005324,0.22805343157946661,0.4403027447892749,0.22246842328361843,0.4378323508241902,250.0,,0.4403027447892749,0.2423262305577453,0.44661597381115786,215.71875,0.15153750078752637,0.28125,0.25417303293943405,0.251717958599329,0.2435914007946849,0.25051760859787464,-1.3131165504455566,5120.0,0.0,False,-0.0033919284178409725,sampled_t0.7,1.0,1.0,1.0,1.1095999032258987,-0.0018716751947067678,11.305806398391724,9.450252532958984,0.5152212269604206,11.348168849945068,0.7168811187148094,1.564106747508049,0.328125,0.03402369096875191,0.3527940078638494,0.26340693212114275,1.3860120698809624,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,0.7,837.710602473857,250.0,0.0,1.0,0.0,10,0.00010151612082154315,sare,6.111895904003177
0.5,0.0026239838043693453,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0010.pt,0.001,1.5710110440850258,MiniGrid-DoorKey-5x5-v0,1.1384992921098969,0.5197528076872264,0.22531205558994685,0.5277057383643149,0.22224877851659605,0.5258747814839536,250.0,,0.5277057383643149,0.23205126515131874,0.5317338435011099,211.4375,0.17007500119507313,0.3125,0.25417303293943405,0.251717958599329,0.2435914007946849,0.25051760859787464,-1.3131165504455566,5120.0,0.0,False,-0.0033919284178409725,sampled_t0.5,1.0,1.0,1.0,1.1095999032258987,-0.0018716751947067678,11.305806398391724,9.450252532958984,0.5152212269604206,11.348168849945068,0.7168811187148094,1.564106747508049,0.328125,0.03402369096875191,0.3527940078638494,0.26340693212114275,1.3860120698809624,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,0.5,837.710602473857,250.0,0.0,1.0,0.0,10,0.00010151612082154315,sare,6.111895904003177
0.5,0.009720705624204129,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0020.pt,0.001,1.2692543044686317,MiniGrid-DoorKey-5x5-v0,1.1371590144336223,1.0,1.5979901860803365,0.6671377130448818,1.5979901860803365,0.6671377130448818,250.0,,0.6671377130448818,,,250.0,0.0,0.0,0.2519449908286333,0.2596586290746927,0.240826896391809,0.24756948184221983,0.11527669429779053,10240.0,0.0,True,-0.004650665905501228,greedy,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.55349525436759,-0.0040325523586943746,11.31323790550232,9.332766115665436,0.5204568468034267,11.358435273170471,0.6960936412215233,1.3721523322165012,0.5703125,1.1899117771536112,0.5526473512873054,0.36342226527631283,1.3854330331087112,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,1.0,840.1287598616763,165.33333333333334,0.37146665652592975,3.0,0.6666666666666666,20,0.0013022820403421065,sare,12.188607853022404
0.5,0.009720705624204129,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0020.pt,0.001,1.2692543044686317,MiniGrid-DoorKey-5x5-v0,1.130377758490554,0.6601180970142936,1.617364603412026,0.67006147972002,1.596773945003748,0.6670733308941126,248.5,0.6670733308941126,0.6730496285459273,1.6379552618203035,0.6730496285459273,181.03125,0.2982874996960163,0.5,0.2519449908286333,0.2596586290746927,0.240826896391809,0.24756948184221983,0.11527669429779053,10240.0,0.0,False,-0.004650665905501228,sampled_t1.0,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.55349525436759,-0.0040325523586943746,11.31323790550232,9.332766115665436,0.5204568468034267,11.358435273170471,0.6960936412215233,1.3721523322165012,0.5703125,1.1899117771536112,0.5526473512873054,0.36342226527631283,1.3854330331087112,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,1.0,840.1287598616763,165.33333333333334,0.37146665652592975,3.0,0.6666666666666666,20,0.0013022820403421065,sare,12.188607853022404
0.5,0.009720705624204129,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0020.pt,0.001,1.2692543044686317,MiniGrid-DoorKey-5x5-v0,0.6640843729471602,0.8312233954035444,1.6159695773025398,0.8339501174034012,1.6088222298120196,0.8329154133294757,250.0,,0.8339501174034012,1.6264157005579152,0.8354623772037537,206.46875,0.19733749888837337,0.40625,0.2519449908286333,0.2596586290746927,0.240826896391809,0.24756948184221983,0.11527669429779053,10240.0,0.0,False,-0.004650665905501228,sampled_t0.7,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.55349525436759,-0.0040325523586943746,11.31323790550232,9.332766115665436,0.5204568468034267,11.358435273170471,0.6960936412215233,1.3721523322165012,0.5703125,1.1899117771536112,0.5526473512873054,0.36342226527631283,1.3854330331087112,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,0.7,840.1287598616763,165.33333333333334,0.37146665652592975,3.0,0.6666666666666666,20,0.0013022820403421065,sare,12.188607853022404
0.5,0.009720705624204129,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0020.pt,0.001,1.2692543044686317,MiniGrid-DoorKey-5x5-v0,0.29603187081576515,0.937339577247859,1.606892838355785,0.9381219573093018,1.6105905620969574,0.9385729488011063,250.0,,0.9381219573093018,1.5711481755244494,0.9337623728885242,238.46875,0.05088749900460243,0.09375,0.2519449908286333,0.2596586290746927,0.240826896391809,0.24756948184221983,0.11527669429779053,10240.0,0.0,False,-0.004650665905501228,sampled_t0.5,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.55349525436759,-0.0040325523586943746,11.31323790550232,9.332766115665436,0.5204568468034267,11.358435273170471,0.6960936412215233,1.3721523322165012,0.5703125,1.1899117771536112,0.5526473512873054,0.36342226527631283,1.3854330331087112,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,0.5,840.1287598616763,165.33333333333334,0.37146665652592975,3.0,0.6666666666666666,20,0.0013022820403421065,sare,12.188607853022404
0.5,0.002791444363538176,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0030.pt,0.001,0.6208090856671333,MiniGrid-DoorKey-5x5-v0,0.6276773353666067,1.0,2.2413888374865056,0.8405226995646954,2.2413888374865056,0.8405226995646954,250.0,,0.8405226995646954,,,250.0,0.0,0.0,0.25535159930586815,0.25936418026685715,0.24227499216794968,0.24300923477858305,0.2554750442504883,15360.0,0.0,True,-0.00182803237112239,greedy,1.0,1.0,1.0,0.6037155091762543,-0.001453406410291791,11.320871531963348,9.366255462169647,0.5139884054660797,11.36485105752945,0.6997276470065117,0.6682909037917852,0.80859375,2.0265690702944994,0.8223041668534279,0.6804089569486678,1.385182797908783,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,1.0,832.5642004784772,223.5,0.1454000025987625,2.0,0.5,30,0.000492365343234269,sare,18.44902770401677
0.5,0.002791444363538176,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0030.pt,0.001,0.6208090856671333,MiniGrid-DoorKey-5x5-v0,0.6232737478206144,0.8371305308185133,2.2601647261207347,0.8421647678751905,2.2464764723777773,0.8410189760804176,250.0,,0.8421647678751905,2.2829784823589976,0.8440744208664789,215.09375,0.16316250059753656,0.375,0.25535159930586815,0.25936418026685715,0.24227499216794968,0.24300923477858305,0.2554750442504883,15360.0,0.0,False,-0.00182803237112239,sampled_t1.0,1.0,1.0,1.0,0.6037155091762543,-0.001453406410291791,11.320871531963348,9.366255462169647,0.5139884054660797,11.36485105752945,0.6997276470065117,0.6682909037917852,0.80859375,2.0265690702944994,0.8223041668534279,0.6804089569486678,1.385182797908783,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,1.0,832.5642004784772,223.5,0.1454000025987625,2.0,0.5,30,0.000492365343234269,sare,18.44902770401677
0.5,0.002791444363538176,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0030.pt,0.001,0.6208090856671333,MiniGrid-DoorKey-5x5-v0,0.2621316073567917,0.9462731481481481,2.26039132709746,0.945067262786958,2.2632523105067595,0.9452688438200181,250.0,,0.945067262786958,2.1717008414091885,0.9388182507620917,246.40625,0.016062499955296516,0.03125,0.25535159930586815,0.25936418026685715,0.24227499216794968,0.24300923477858305,0.2554750442504883,15360.0,0.0,False,-0.00182803237112239,sampled_t0.7,1.0,1.0,1.0,0.6037155091762543,-0.001453406410291791,11.320871531963348,9.366255462169647,0.5139884054660797,11.36485105752945,0.6997276470065117,0.6682909037917852,0.80859375,2.0265690702944994,0.8223041668534279,0.6804089569486678,1.385182797908783,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,0.7,832.5642004784772,223.5,0.1454000025987625,2.0,0.5,30,0.000492365343234269,sare,18.44902770401677
0.5,0.002791444363538176,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0030.pt,0.001,0.6208090856671333,MiniGrid-DoorKey-5x5-v0,0.07895001097023488,0.984,2.2682854480445385,0.9866502685397863,2.2682854480445385,0.9866502685397863,250.0,,0.9866502685397863,,,250.0,0.0,0.0,0.25535159930586815,0.25936418026685715,0.24227499216794968,0.24300923477858305,0.2554750442504883,15360.0,0.0,False,-0.00182803237112239,sampled_t0.5,1.0,1.0,1.0,0.6037155091762543,-0.001453406410291791,11.320871531963348,9.366255462169647,0.5139884054660797,11.36485105752945,0.6997276470065117,0.6682909037917852,0.80859375,2.0265690702944994,0.8223041668534279,0.6804089569486678,1.385182797908783,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,0.5,832.5642004784772,223.5,0.1454000025987625,2.0,0.5,30,0.000492365343234269,sare,18.44902770401677
0.5,0.0008207311911974102,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0040.pt,0.001,0.36049120500683784,MiniGrid-DoorKey-5x5-v0,0.3508137790448964,1.0,2.705847700446844,0.9174454993829131,2.705847700446844,0.9174454993829131,250.0,,0.9174454993829131,,,250.0,0.0,0.0,0.2570509687066078,0.25906493328511715,0.2410455783829093,0.24283851496875286,-3.513676643371582,20480.0,0.0,True,-0.0011892826296389103,greedy,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.6054916828870773,-0.00083121721399948,11.329362273216248,8.744020342826843,0.5773135274648666,11.357821762561798,0.6089745722711086,0.3766672289930284,0.890625,2.5979584716260433,0.9089014250785112,0.8163325889036059,1.3847177028656006,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,1.0,832.746260197602,250.0,0.0,1.0,0.0,40,4.854866830328319e-06,sare,24.593325697002
0.5,0.0008207311911974102,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0040.pt,0.001,0.36049120500683784,MiniGrid-DoorKey-5x5-v0,0.34290663365274665,0.9183749999999999,2.747765407383442,0.9201432497054338,2.747765407383442,0.9201432497054338,250.0,,0.9201432497054338,,,250.0,0.0,0.0,0.2570509687066078,0.25906493328511715,0.2410455783829093,0.24283851496875286,-3.513676643371582,20480.0,0.0,False,-0.0011892826296389103,sampled_t1.0,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.6054916828870773,-0.00083121721399948,11.329362273216248,8.744020342826843,0.5773135274648666,11.357821762561798,0.6089745722711086,0.3766672289930284,0.890625,2.5979584716260433,0.9089014250785112,0.8163325889036059,1.3847177028656006,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,1.0,832.746260197602,250.0,0.0,1.0,0.0,40,4.854866830328319e-06,sare,24.593325697002
0.5,0.0008207311911974102,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0040.pt,0.001,0.36049120500683784,MiniGrid-DoorKey-5x5-v0,0.11556543014664203,0.976375,2.767914387315512,0.9778884423449635,2.767914387315512,0.9778884423449635,250.0,,0.9778884423449635,,,250.0,0.0,0.0,0.2570509687066078,0.25906493328511715,0.2410455783829093,0.24283851496875286,-3.513676643371582,20480.0,0.0,False,-0.0011892826296389103,sampled_t0.7,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.6054916828870773,-0.00083121721399948,11.329362273216248,8.744020342826843,0.5773135274648666,11.357821762561798,0.6089745722711086,0.3766672289930284,0.890625,2.5979584716260433,0.9089014250785112,0.8163325889036059,1.3847177028656006,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,0.7,832.746260197602,250.0,0.0,1.0,0.0,40,4.854866830328319e-06,sare,24.593325697002
0.5,0.0008207311911974102,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0040.pt,0.001,0.36049120500683784,MiniGrid-DoorKey-5x5-v0,0.02887077868054621,0.9945,2.775035583078861,0.9955743965357542,2.775035583078861,0.9955743965357542,250.0,,0.9955743965357542,,,250.0,0.0,0.0,0.2570509687066078,0.25906493328511715,0.2410455783829093,0.24283851496875286,-3.513676643371582,20480.0,0.0,False,-0.0011892826296389103,sampled_t0.5,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.6054916828870773,-0.00083121721399948,11.329362273216248,8.744020342826843,0.5773135274648666,11.357821762561798,0.6089745722711086,0.3766672289930284,0.890625,2.5979584716260433,0.9089014250785112,0.8163325889036059,1.3847177028656006,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,0.5,832.746260197602,250.0,0.0,1.0,0.0,40,4.854866830328319e-06,sare,24.593325697002
0.5,0.002437400951748714,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0050.pt,0.001,0.4623920861631632,MiniGrid-DoorKey-5x5-v0,0.49064334919303654,1.0,2.737115251541138,0.8842805925533176,2.737115251541138,0.8842805925533176,250.0,,0.8842805925533176,,,250.0,0.0,0.0,0.24930794537067413,0.2618086840957403,0.24139606580138206,0.24748729169368744,-0.7376754283905029,25600.0,0.0,True,-0.006598408377612941,greedy,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.5894054211676121,-0.006137908931123093,11.34157782793045,8.948014497756958,0.5531647130846977,11.354496419429779,0.6408997401595116,0.45451952889561653,0.8828125,2.616626013070345,0.8916783714666963,0.793096718378365,1.3848892003297806,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,1.0,834.1360951591485,250.0,0.0,1.0,0.0,50,3.7842489746253705e-06,sare,30.69043546798639
0.5,0.002437400951748714,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0050.pt,0.001,0.4623920861631632,MiniGrid-DoorKey-5x5-v0,0.4863954630104369,0.88658287333437,2.7605852945928606,0.8856318920316015,2.7509138483179028,0.8850352818308205,250.0,,0.8856318920316015,2.854075941917452,0.8913991239724837,246.90625,0.020512499380856752,0.09375,0.24930794537067413,0.2618086840957403,0.24139606580138206,0.24748729169368744,-0.7376754283905029,25600.0,0.0,False,-0.006598408377612941,sampled_t1.0,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.5894054211676121,-0.006137908931123093,11.34157782793045,8.948014497756958,0.5531647130846977,11.354496419429779,0.6408997401595116,0.45451952889561653,0.8828125,2.616626013070345,0.8916783714666963,0.793096718378365,1.3848892003297806,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,1.0,834.1360951591485,250.0,0.0,1.0,0.0,50,3.7842489746253705e-06,sare,30.69043546798639
0.5,0.002437400951748714,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan/checkpoint_update_0050.pt,0.001,0.4623920861631632,MiniGrid-DoorKey-5x5-v0,0.17372771869041026,0.96475,2.781465026497841,0.9672914990335703,2.781465026497841,0.9672914990335703,250.0,,0.9672914990335703,,,250.0,0.0,0.0,0.24930794537067413,0.2618086840957403,0.24139606580138206,0.24748729169368744,-0.7376754283905029,25600.0,0.0,False,-0.006598408377612941,sampled_t0.7,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.5894054211676121,-0.006137908931123093,11.34157782793045,8.948014497756958,0.5531647130846977,11.354496419429779,0.6408997401595116,0.45451952889561653,0.8828125,2.616626013070345,0.8916783714666963,0.793096718378365,1.3848892003297806,outputs/experiments/greedy_recovery/checkpoint_dynamics/minigrid_doorkey_sare_ent1e3_ckptscan,0.7,834.1360951591485,250.0,0.0,1.0,0.0,50,3.7842489746253705e-06,sare,30.69043546798639
