active_compute_proxy,approx_kl,ent_coef_current,entropy,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,explained_variance,global_step,gpu_utilization,greedy,loss,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,policy_loss,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,rollout/action_entropy,rollout/action_greedy_match,rollout/action_logit_margin,rollout/action_max_prob,rollout/action_selected_prob,route_entropy,run_dir,schedule,temperature,throughput_fps,train/episode_length,train/episode_return,train/episodes_completed,train/success_rate,value_loss,variant,wall_clock_seconds
0.5,3.879307769238949e-06,0.01,1.6139494106173515,1.6154005639255047,1.0,0.30595341697335243,0.3843999980017543,0.30595341697335243,0.3843999980017543,250.0,0.3843999980017543,,,250.0,0.0,0.0,0.2677674125880003,0.2396158492192626,0.23226542491465807,0.2603513076901436,-5.769432544708252,40960.0,0.0,True,-0.016226303414441645,greedy,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.6187344416975975,-8.734839502722025e-05,11.294341027736664,10.141304075717926,0.40760041028261185,11.407457292079926,0.8180746622383595,1.6124647501856089,0.396484375,0.29847990861162543,0.3843475515022874,0.2490058084949851,1.3843258768320084,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare,constant:0.01,1.0,839.68132047787,0.0,0.0,0.0,0.0,1.0758076811612227e-06,sare,48.78041109297192
0.5,3.879307769238949e-06,0.01,1.6139494106173515,1.615627686470747,0.3885,0.3061653780341148,0.3843696404062211,0.3061653780341148,0.3843696404062211,250.0,0.3843696404062211,,,250.0,0.0,0.0,0.2677674125880003,0.2396158492192626,0.23226542491465807,0.2603513076901436,-5.769432544708252,40960.0,0.0,False,-0.016226303414441645,sampled_t1.0,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.6187344416975975,-8.734839502722025e-05,11.294341027736664,10.141304075717926,0.40760041028261185,11.407457292079926,0.8180746622383595,1.6124647501856089,0.396484375,0.29847990861162543,0.3843475515022874,0.2490058084949851,1.3843258768320084,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare,constant:0.01,1.0,839.68132047787,0.0,0.0,0.0,0.0,1.0758076811612227e-06,sare,48.78041109297192
0.5,3.879307769238949e-06,0.01,1.6139494106173515,1.3494721244126557,0.490875,0.3057442958056927,0.4849396797977388,0.3057442958056927,0.4849396797977388,250.0,0.4849396797977388,,,250.0,0.0,0.0,0.2677674125880003,0.2396158492192626,0.23226542491465807,0.2603513076901436,-5.769432544708252,40960.0,0.0,False,-0.016226303414441645,sampled_t0.7,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.6187344416975975,-8.734839502722025e-05,11.294341027736664,10.141304075717926,0.40760041028261185,11.407457292079926,0.8180746622383595,1.6124647501856089,0.396484375,0.29847990861162543,0.3843475515022874,0.2490058084949851,1.3843258768320084,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare,constant:0.01,0.7,839.68132047787,0.0,0.0,0.0,0.0,1.0758076811612227e-06,sare,48.78041109297192
0.5,3.879307769238949e-06,0.01,1.6139494106173515,1.0382024622708559,0.595375,0.3058070738688111,0.5876200046390295,0.3058070738688111,0.5876200046390295,250.0,0.5876200046390295,,,250.0,0.0,0.0,0.2677674125880003,0.2396158492192626,0.23226542491465807,0.2603513076901436,-5.769432544708252,40960.0,0.0,False,-0.016226303414441645,sampled_t0.5,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.6187344416975975,-8.734839502722025e-05,11.294341027736664,10.141304075717926,0.40760041028261185,11.407457292079926,0.8180746622383595,1.6124647501856089,0.396484375,0.29847990861162543,0.3843475515022874,0.2490058084949851,1.3843258768320084,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare,constant:0.01,0.5,839.68132047787,0.0,0.0,0.0,0.0,1.0758076811612227e-06,sare,48.78041109297192
0.5,4.969770088791847e-07,0.001,0.6241109818220139,0.6202189762815833,1.0,2.2395853465795517,0.8374236098006367,2.2395853465795517,0.8374236098006367,250.0,0.8374236098006367,,,250.0,0.0,0.0,0.24630863033235073,0.26587425731122494,0.24074932746589184,0.24706777278333902,-3.684631824493408,40960.0,0.0,True,-0.0006890994845889509,greedy,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.5542947575449944,-6.619421765208244e-05,11.336283802986145,9.276978552341461,0.5159175135195255,11.364244043827057,0.6898856312036514,0.6247197510674596,0.8203125,2.234803717583418,0.8357961624860764,0.6980664972215891,1.384665846824646,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent1e3,constant:0.001,1.0,845.2320736638238,0.0,0.0,0.0,0.0,2.409432660499533e-06,sare,48.46006354497513
0.5,4.969770088791847e-07,0.001,0.6241109818220139,0.6186211615065689,0.8349317835873582,2.239888296404719,0.837882335943517,2.2409058737388023,0.8381835692020563,250.0,0.837882335943517,2.2354787946236905,0.83657699182318,236.6875,0.06667499896138906,0.1875,0.24630863033235073,0.26587425731122494,0.24074932746589184,0.24706777278333902,-3.684631824493408,40960.0,0.0,False,-0.0006890994845889509,sampled_t1.0,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.5542947575449944,-6.619421765208244e-05,11.336283802986145,9.276978552341461,0.5159175135195255,11.364244043827057,0.6898856312036514,0.6247197510674596,0.8203125,2.234803717583418,0.8357961624860764,0.6980664972215891,1.384665846824646,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent1e3,constant:0.001,1.0,845.2320736638238,0.0,0.0,0.0,0.0,2.409432660499533e-06,sare,48.46006354497513
0.5,4.969770088791847e-07,0.001,0.6241109818220139,0.2736359885110471,0.9393432017543859,2.2426254659627087,0.9410383353297387,2.2426760432335637,0.9410196680022824,250.0,0.9410383353297387,2.241057570566211,0.941617022480881,249.3125,0.00559999980032444,0.03125,0.24630863033235073,0.26587425731122494,0.24074932746589184,0.24706777278333902,-3.684631824493408,40960.0,0.0,False,-0.0006890994845889509,sampled_t0.7,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.5542947575449944,-6.619421765208244e-05,11.336283802986145,9.276978552341461,0.5159175135195255,11.364244043827057,0.6898856312036514,0.6247197510674596,0.8203125,2.234803717583418,0.8357961624860764,0.6980664972215891,1.384665846824646,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent1e3,constant:0.001,0.7,845.2320736638238,0.0,0.0,0.0,0.0,2.409432660499533e-06,sare,48.46006354497513
0.5,4.969770088791847e-07,0.001,0.6241109818220139,0.08894301132950932,0.9837499999999999,2.23820624256134,0.9847107567489147,2.23820624256134,0.9847107567489147,250.0,0.9847107567489147,,,250.0,0.0,0.0,0.24630863033235073,0.26587425731122494,0.24074932746589184,0.24706777278333902,-3.684631824493408,40960.0,0.0,False,-0.0006890994845889509,sampled_t0.5,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.5542947575449944,-6.619421765208244e-05,11.336283802986145,9.276978552341461,0.5159175135195255,11.364244043827057,0.6898856312036514,0.6247197510674596,0.8203125,2.234803717583418,0.8357961624860764,0.6980664972215891,1.384665846824646,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent1e3,constant:0.001,0.5,845.2320736638238,0.0,0.0,0.0,0.0,2.409432660499533e-06,sare,48.46006354497513
0.5,1.5419209375977516e-07,0.003,0.4437219798564911,0.44266435439884666,1.0,3.113911786675453,0.9056134899631143,3.113911786675453,0.9056134899631143,250.0,0.9056134899631143,,,250.0,0.0,0.0,0.2378778923302889,0.23440135642886162,0.23422507103532553,0.2934956829994917,0.5069066286087036,40960.0,0.0,True,-0.0013082970399409533,greedy,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.4657921139150858,2.277136081829667e-05,11.30059564113617,9.944039642810822,0.44351842254400253,11.39295357465744,0.7861231490969658,0.44429525546729565,0.919921875,3.1143707744777203,0.9052098877727985,0.8351414548233151,1.380315862596035,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent3e3,constant:0.003,1.0,828.4812036128188,250.0,0.0,1.0,0.0,1.9443031540333777e-07,sare,49.439866374013945
0.5,1.5419209375977516e-07,0.003,0.4437219798564911,0.44336765598505734,0.9101250000000001,3.1126701675355433,0.9054217851236463,3.1126701675355433,0.9054217851236463,250.0,0.9054217851236463,,,250.0,0.0,0.0,0.2378778923302889,0.23440135642886162,0.23422507103532553,0.2934956829994917,0.5069066286087036,40960.0,0.0,False,-0.0013082970399409533,sampled_t1.0,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.4657921139150858,2.277136081829667e-05,11.30059564113617,9.944039642810822,0.44351842254400253,11.39295357465744,0.7861231490969658,0.44429525546729565,0.919921875,3.1143707744777203,0.9052098877727985,0.8351414548233151,1.380315862596035,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent3e3,constant:0.003,1.0,828.4812036128188,250.0,0.0,1.0,0.0,1.9443031540333777e-07,sare,49.439866374013945
0.5,1.5419209375977516e-07,0.003,0.4437219798564911,0.1331781199108809,0.977875,3.1134574280381204,0.9775436125919222,3.1134574280381204,0.9775436125919222,250.0,0.9775436125919222,,,250.0,0.0,0.0,0.2378778923302889,0.23440135642886162,0.23422507103532553,0.2934956829994917,0.5069066286087036,40960.0,0.0,False,-0.0013082970399409533,sampled_t0.7,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.4657921139150858,2.277136081829667e-05,11.30059564113617,9.944039642810822,0.44351842254400253,11.39295357465744,0.7861231490969658,0.44429525546729565,0.919921875,3.1143707744777203,0.9052098877727985,0.8351414548233151,1.380315862596035,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent3e3,constant:0.003,0.7,828.4812036128188,250.0,0.0,1.0,0.0,1.9443031540333777e-07,sare,49.439866374013945
0.5,1.5419209375977516e-07,0.003,0.4437219798564911,0.02544511912460439,0.995,3.1130385534763336,0.996658543922007,3.1130385534763336,0.996658543922007,250.0,0.996658543922007,,,250.0,0.0,0.0,0.2378778923302889,0.23440135642886162,0.23422507103532553,0.2934956829994917,0.5069066286087036,40960.0,0.0,False,-0.0013082970399409533,sampled_t0.5,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.4657921139150858,2.277136081829667e-05,11.30059564113617,9.944039642810822,0.44351842254400253,11.39295357465744,0.7861231490969658,0.44429525546729565,0.919921875,3.1143707744777203,0.9052098877727985,0.8351414548233151,1.380315862596035,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent3e3,constant:0.003,0.5,828.4812036128188,250.0,0.0,1.0,0.0,1.9443031540333777e-07,sare,49.439866374013945
0.5,8.37474362924695e-06,0.0003,1.7737407684326172,1.7780443522483111,1.0,0.41701448025554416,0.3137409511767328,0.41701448025554416,0.3137409511767328,250.0,0.3137409511767328,,,250.0,0.0,0.0,0.23557440005242825,0.24383019469678402,0.23918396793305874,0.2814114447683096,0.23081690073013306,40960.0,0.0,True,-0.0007378979935310781,greedy,1.0,1.0,1.0,0.1242183381691575,-0.000208191922865808,11.287790179252625,9.924212634563446,0.4456448145210743,11.403689682483673,0.783256784081459,1.7732836827635765,0.28125,0.3987725437618792,0.3133940533734858,0.19172400154639035,1.3833988457918167,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent3e4,constant:0.0003,1.0,833.8251652896878,250.0,0.0,3.0,0.0,4.833493434830416e-06,sare,49.12300768203568
0.5,8.37474362924695e-06,0.0003,1.7737407684326172,1.7777243103218543,0.3094756493506493,0.4166601884365082,0.31383327760063595,0.4172252298555067,0.31382185482978814,250.0,0.31383327760063595,0.39914390444755554,0.31418738349691616,247.0,0.013925000093877316,0.03125,0.23557440005242825,0.24383019469678402,0.23918396793305874,0.2814114447683096,0.23081690073013306,40960.0,0.0,False,-0.0007378979935310781,sampled_t1.0,1.0,1.0,1.0,0.1242183381691575,-0.000208191922865808,11.287790179252625,9.924212634563446,0.4456448145210743,11.403689682483673,0.783256784081459,1.7732836827635765,0.28125,0.3987725437618792,0.3133940533734858,0.19172400154639035,1.3833988457918167,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent3e4,constant:0.0003,1.0,833.8251652896878,250.0,0.0,3.0,0.0,4.833493434830416e-06,sare,49.12300768203568
0.5,8.37474362924695e-06,0.0003,1.7737407684326172,1.6302118671983479,0.39337500000000003,0.4170168258324265,0.39829813708364964,0.4170168258324265,0.39829813708364964,250.0,0.39829813708364964,,,250.0,0.0,0.0,0.23557440005242825,0.24383019469678402,0.23918396793305874,0.2814114447683096,0.23081690073013306,40960.0,0.0,False,-0.0007378979935310781,sampled_t0.7,1.0,1.0,1.0,0.1242183381691575,-0.000208191922865808,11.287790179252625,9.924212634563446,0.4456448145210743,11.403689682483673,0.783256784081459,1.7732836827635765,0.28125,0.3987725437618792,0.3133940533734858,0.19172400154639035,1.3833988457918167,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent3e4,constant:0.0003,0.7,833.8251652896878,250.0,0.0,3.0,0.0,4.833493434830416e-06,sare,49.12300768203568
0.5,8.37474362924695e-06,0.0003,1.7737407684326172,1.4046225112378599,0.505,0.4149893493205309,0.5082002049461007,0.4149893493205309,0.5082002049461007,250.0,0.5082002049461007,,,250.0,0.0,0.0,0.23557440005242825,0.24383019469678402,0.23918396793305874,0.2814114447683096,0.23081690073013306,40960.0,0.0,False,-0.0007378979935310781,sampled_t0.5,1.0,1.0,1.0,0.1242183381691575,-0.000208191922865808,11.287790179252625,9.924212634563446,0.4456448145210743,11.403689682483673,0.783256784081459,1.7732836827635765,0.28125,0.3987725437618792,0.3133940533734858,0.19172400154639035,1.3833988457918167,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_ent3e4,constant:0.0003,0.5,833.8251652896878,250.0,0.0,3.0,0.0,4.833493434830416e-06,sare,49.12300768203568
0.5,2.153014065697789e-06,0.0009999999999999992,1.4147502705454826,1.414182764440775,1.0,0.7131276607364416,0.5055913084521889,0.7131276607364416,0.5055913084521889,250.0,0.5055913084521889,,,250.0,0.0,0.0,0.2632770761847496,0.2407836616039276,0.23318470548838377,0.2627545464783907,-7.586819648742676,40960.0,0.0,True,-0.00154913030564785,greedy,0.9999999888241291,0.9999999888241291,0.9999999888241291,0.7609591074287891,-0.00013490417040884495,11.296508967876434,10.20641577243805,0.39604091085493565,11.413726568222046,0.827730767428875,1.414376474916935,0.4609375,0.7111873487010598,0.5054311556741595,0.31505578896030784,1.3846388086676598,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_latedrop_1e2_to_1e3,late_linear:0.01->0.001@0.75,1.0,845.1334636512778,0.0,0.0,0.0,0.0,1.0506707042168273e-06,sare,48.465717856015544
0.5,2.153014065697789e-06,0.0009999999999999992,1.4147502705454826,1.4141580999046566,0.50525,0.7128183019310236,0.5055076627656817,0.7128183019310236,0.5055076627656817,250.0,0.5055076627656817,,,250.0,0.0,0.0,0.2632770761847496,0.2407836616039276,0.23318470548838377,0.2627545464783907,-7.586819648742676,40960.0,0.0,False,-0.00154913030564785,sampled_t1.0,0.9999999888241291,0.9999999888241291,0.9999999888241291,0.7609591074287891,-0.00013490417040884495,11.296508967876434,10.20641577243805,0.39604091085493565,11.413726568222046,0.827730767428875,1.414376474916935,0.4609375,0.7111873487010598,0.5054311556741595,0.31505578896030784,1.3846388086676598,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_latedrop_1e2_to_1e3,late_linear:0.01->0.001@0.75,1.0,845.1334636512778,0.0,0.0,0.0,0.0,1.0506707042168273e-06,sare,48.465717856015544
0.5,2.153014065697789e-06,0.0009999999999999992,1.4147502705454826,1.055730864688754,0.6435,0.7129197470396756,0.6453256864622237,0.7129197470396756,0.6453256864622237,250.0,0.6453256864622237,,,250.0,0.0,0.0,0.2632770761847496,0.2407836616039276,0.23318470548838377,0.2627545464783907,-7.586819648742676,40960.0,0.0,False,-0.00154913030564785,sampled_t0.7,0.9999999888241291,0.9999999888241291,0.9999999888241291,0.7609591074287891,-0.00013490417040884495,11.296508967876434,10.20641577243805,0.39604091085493565,11.413726568222046,0.827730767428875,1.414376474916935,0.4609375,0.7111873487010598,0.5054311556741595,0.31505578896030784,1.3846388086676598,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_latedrop_1e2_to_1e3,late_linear:0.01->0.001@0.75,0.7,845.1334636512778,0.0,0.0,0.0,0.0,1.0506707042168273e-06,sare,48.465717856015544
0.5,2.153014065697789e-06,0.0009999999999999992,1.4147502705454826,0.7031437451913953,0.7666250000000001,0.7130283782929182,0.7720568244978786,0.7130283782929182,0.7720568244978786,250.0,0.7720568244978786,,,250.0,0.0,0.0,0.2632770761847496,0.2407836616039276,0.23318470548838377,0.2627545464783907,-7.586819648742676,40960.0,0.0,False,-0.00154913030564785,sampled_t0.5,0.9999999888241291,0.9999999888241291,0.9999999888241291,0.7609591074287891,-0.00013490417040884495,11.296508967876434,10.20641577243805,0.39604091085493565,11.413726568222046,0.827730767428875,1.414376474916935,0.4609375,0.7111873487010598,0.5054311556741595,0.31505578896030784,1.3846388086676598,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_latedrop_1e2_to_1e3,late_linear:0.01->0.001@0.75,0.5,845.1334636512778,0.0,0.0,0.0,0.0,1.0506707042168273e-06,sare,48.465717856015544
0.5,2.2320891730487347e-06,0.0009999999999999992,1.6080598831176758,1.6078979074954987,1.0,0.38140171952545643,0.3667398001998663,0.38140171952545643,0.3667398001998663,250.0,0.3667398001998663,,,250.0,0.0,0.0,0.23422878608107567,0.23078810796141624,0.24384301900863647,0.2911400906741619,-2.5748050212860107,40960.0,0.0,True,-0.0018051155493594706,greedy,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.1287423986941576,-0.00019714696099981666,11.308246731758118,10.03342068195343,0.4270886108279228,11.401257455348969,0.7990181371569633,1.6081364694982767,0.365234375,0.3915057424455881,0.36760673532262444,0.24310191650874913,1.3811094909906387,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_linear_1e2_to_1e3,linear:0.01->0.001,1.0,837.0004880912993,0.0,0.0,0.0,0.0,1.849937509845745e-07,sare,48.936650076997466
0.5,2.2320891730487347e-06,0.0009999999999999992,1.6080598831176758,1.6077170899063349,0.36412500000000003,0.38079498331248757,0.36680711788311604,0.38079498331248757,0.36680711788311604,250.0,0.36680711788311604,,,250.0,0.0,0.0,0.23422878608107567,0.23078810796141624,0.24384301900863647,0.2911400906741619,-2.5748050212860107,40960.0,0.0,False,-0.0018051155493594706,sampled_t1.0,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.1287423986941576,-0.00019714696099981666,11.308246731758118,10.03342068195343,0.4270886108279228,11.401257455348969,0.7990181371569633,1.6081364694982767,0.365234375,0.3915057424455881,0.36760673532262444,0.24310191650874913,1.3811094909906387,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_linear_1e2_to_1e3,linear:0.01->0.001,1.0,837.0004880912993,0.0,0.0,0.0,0.0,1.849937509845745e-07,sare,48.936650076997466
0.5,2.2320891730487347e-06,0.0009999999999999992,1.6080598831176758,1.3897285031080244,0.4555,0.38087221994251014,0.4558211062885821,0.38087221994251014,0.4558211062885821,250.0,0.4558211062885821,,,250.0,0.0,0.0,0.23422878608107567,0.23078810796141624,0.24384301900863647,0.2911400906741619,-2.5748050212860107,40960.0,0.0,False,-0.0018051155493594706,sampled_t0.7,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.1287423986941576,-0.00019714696099981666,11.308246731758118,10.03342068195343,0.4270886108279228,11.401257455348969,0.7990181371569633,1.6081364694982767,0.365234375,0.3915057424455881,0.36760673532262444,0.24310191650874913,1.3811094909906387,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_linear_1e2_to_1e3,linear:0.01->0.001,0.7,837.0004880912993,0.0,0.0,0.0,0.0,1.849937509845745e-07,sare,48.936650076997466
0.5,2.2320891730487347e-06,0.0009999999999999992,1.6080598831176758,1.1470624802410603,0.556125,0.38065499686449766,0.5548232810869813,0.38065499686449766,0.5548232810869813,250.0,0.5548232810869813,,,250.0,0.0,0.0,0.23422878608107567,0.23078810796141624,0.24384301900863647,0.2911400906741619,-2.5748050212860107,40960.0,0.0,False,-0.0018051155493594706,sampled_t0.5,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.1287423986941576,-0.00019714696099981666,11.308246731758118,10.03342068195343,0.4270886108279228,11.401257455348969,0.7990181371569633,1.6081364694982767,0.365234375,0.3915057424455881,0.36760673532262444,0.24310191650874913,1.3811094909906387,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_linear_1e2_to_1e3,linear:0.01->0.001,0.5,837.0004880912993,0.0,0.0,0.0,0.0,1.849937509845745e-07,sare,48.936650076997466
0.5,5.658948794007301e-07,0.0002999999999999999,0.9781601503491402,0.9750611913502216,1.0,0.258880209505558,0.5264318996965884,0.258880209505558,0.5264318996965884,250.0,0.5264318996965884,,,250.0,0.0,0.0,0.21983972564339638,0.21921882219612598,0.2195798810571432,0.34136155992746353,-0.5323230028152466,40960.0,0.0,True,-0.00033621545298956335,greedy,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.12904732674360275,-4.324608016759157e-05,11.308157920837402,9.332802593708038,0.5223089791834354,11.375199317932129,0.691274605691433,0.9787852885201573,0.53125,0.2483238964341581,0.5234347740188241,0.44052126724272966,1.3631737679243088,outputs/experiments/greedy_recovery/entropy_schedule/minigrid_doorkey_sare_linear_3e3_to_3e4,linear:0.003->0.0003,1.0,850.530729008918,0.0,0.0,0.0,0.0,9.587877194405792e-07,sare,48.15816595801152
